YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,TOA_SW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,PRECTOTCORR,RH2M,QV2M,PS,WS2M,WS10M,WD2M,WD10M
2023,5,8,16,1.18,1.72,2.38,139.55,203.17,18.52,0.34,1.67,4.9,-2.97,0.97,0.1,57.06,4.94,62.35,6.07,11.55517941,226.77,227.01
2023,5,19,12,2.51,3.56,4.72,327.67,426.1,44.22,1.62,8.73,9.34,0.21,4.78,0.04,54.94,6.47,62.42,6.15,11.70747172,225.05,225.08
2023,5,15,14,1.6,2.83,4.01,202.33,334.02,27.1,0.82,4.17,7.08,0.71,3.9,0.57,65.75,6.65,62.15,6.11,11.63132557,229.04,229.18
2023,3,26,15,1.89,2.29,3.03,224.6,270.3,29.87,0.66,3.27,2.76,-6.45,-1.84,0,50.81,3.78,62.18,6.03,11.47903325,225,225.04
2023,5,9,15,2.1,2.55,3.28,254.85,305.2,35.31,0.91,4.6,6.47,-4.61,0.93,0,45.06,4.33,62.31,6.09,11.59325249,234.72,234.97
2023,5,15,12,2.13,3.45,4.72,275.02,407.75,37.36,1.31,6.92,8.83,-0.94,3.94,0.34,53.25,6.04,62.17,6.12,11.6503621,230.18,230.23
2023,5,26,12,2.4,3.82,4.72,323.8,467.2,48.19,1.89,10.25,9.28,0.24,4.76,0.05,55.81,6.53,62.45,6.11,11.63132557,221.79,221.7
2023,5,14,13,2.47,3.41,4.49,315.52,414.05,43.88,1.5,7.75,9.87,0.25,5.06,0.07,52.94,6.47,62.34,6.06,11.53614287,223.64,223.64
2023,4,5,14,2.52,3.09,3.84,307.77,368.92,43.55,1.26,6.5,3.9,-4.63,-0.36,0.01,54.19,4.39,62.18,6.05,11.51710633,221.49,221.47
2023,4,3,14,1.78,2.91,3.83,221.8,348.48,32.05,0.89,4.52,3.45,-2.64,0.4,0,65.44,5.13,61.98,6.02,11.45999671,228.58,228.54
2023,4,27,13,1.36,3.08,4.45,171.9,344.45,21.47,0.66,3.3,5.83,-3.03,1.4,0.01,53.38,4.94,62.43,6.08,11.57421595,216.9,217.03
2023,5,19,14,1.75,2.94,4.02,222.38,353.3,30.13,0.96,4.9,8.44,0.65,4.55,0.1,59.44,6.59,62.36,6.04,11.49806979,224.58,224.58
2023,3,26,14,2.54,2.96,3.76,303.73,349.02,41.51,1.16,5.92,3.76,-6.83,-1.53,0,45.88,3.66,62.2,6.01,11.44096017,227.58,227.54
2023,4,5,13,2.94,3.56,4.33,356.55,424.4,51.52,1.67,8.62,4.45,-5.4,-0.47,0,49.19,4.15,62.21,6.05,11.51710633,223.74,223.79
2023,4,20,12,2.76,3.56,4.64,341.15,422.7,47.09,1.65,8.73,7.66,-1.91,2.88,0,51.69,5.43,62.36,6.02,11.45999671,231.06,231.19
2023,3,28,14,2.09,2.8,3.78,244.15,318.48,32.59,0.82,4.15,2.06,-5.52,-1.73,0,57.56,4.09,62.17,5.99,11.40288709,226.06,226.09
