YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,TOA_SW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M
2022,4,3,14,1.39,2.1,3.83,158.23,228.62,17.84,0.46,2.35,15.52,8.01,11.76,9.58,63.44,0.67,73.08,4.75,234.24,6.16,234.29
2022,4,3,15,1.18,1.57,3.09,127.48,168.4,13.99,0.29,1.45,14.94,7.8,11.37,9.46,64.94,0.72,73.03,4.4,235.27,5.75,235.23
2022,4,3,16,0.68,0.97,2.16,73.1,104.77,8.31,0.12,0.58,13.94,7.56,10.75,9.34,68.38,0.64,73.02,3.84,233.6,5.07,233.64
2022,4,3,17,0.25,0.35,1.1,26.25,38.73,3.14,0.02,0.08,12.21,7.81,10.01,9.52,78.31,0.71,73.04,2.75,229.49,3.77,229.21
2022,4,3,18,0.03,0.03,0.13,2.23,2.67,0.28,0,0,9.26,8.12,8.69,9.83,98.12,0.42,73.08,1.07,226.18,2.07,225.15
2022,4,3,19,0,0,0,0,0,0,0,0,8.41,7.64,8.02,9.46,100,0.34,73.12,0.84,226.51,1.76,226.08
2022,4,3,20,0,0,0,0,0,0,0,0,8.19,7.26,7.73,9.22,99.19,0.28,73.16,0.81,234.46,1.51,234.5
2022,4,3,21,0,0,0,0,0,0,0,0,7.94,6.9,7.42,9.03,98.69,0.26,73.18,0.79,249.78,1.38,249.82
2022,4,3,22,0,0,0,0,0,0,0,0,7.66,6.55,7.11,8.85,98.44,0.24,73.16,0.78,274.57,1.31,274.79
2022,4,3,23,0,0,0,0,0,0,0,0,7.39,6.09,6.74,8.61,97.56,0.2,73.13,0.82,295.84,1.37,296.13
2022,4,4,0,0,0,0,0,0,0,0,0,7.23,5.47,6.35,8.3,95.06,0.14,73.09,0.88,299.74,1.45,299.32
2022,4,4,1,0,0,0,0,0,0,0,0,7.24,4.85,6.05,8,91.56,0.09,73.04,0.9,305.07,1.47,305.04
2022,4,4,2,0,0,0,0,0,0,0,0,7.13,4.17,5.65,7.63,88.38,0.04,72.99,0.95,311.99,1.55,311.73
2022,4,4,3,0,0,0,0,0,0,0,0,7.11,3.44,5.27,7.26,84.31,0.02,72.97,0.94,327.89,1.5,327.8
2022,4,4,4,0,0,0,0,0,0,0,0,7.08,2.77,4.93,6.96,80.31,0.01,72.99,0.92,338.65,1.46,338.26
2022,4,4,5,0,0,0,0,0,0,0,0,7.1,2.18,4.64,6.59,76.69,0,73.05,0.88,341.4,1.38,340.54
2022,4,4,6,0.17,0.19,0.47,17.67,21.23,2.22,0.01,0.02,7.76,2.8,5.29,6.84,76.06,0,73.11,0.78,340.11,1.28,339.24
2022,4,4,7,0.87,1.02,1.57,98.83,118,11.9,0.12,0.6,10.67,3.8,7.23,7.57,69.12,0,73.18,0.92,296.35,1.21,297.72
2022,4,4,8,1.7,1.9,2.59,198.9,224.42,25.75,0.49,2.42,12.79,3.33,8.06,7.32,57.88,0.01,73.21,1.97,241.3,2.51,241.52
2022,4,4,9,2.45,2.68,3.44,291.85,316.65,39.34,1.04,5.27,14.57,3.04,8.8,7.02,49.69,0,73.23,2.92,230.31,3.74,230.42
2022,4,4,10,2.74,3.25,4.07,328.35,384.85,45.66,1.45,7.45,15.97,3.13,9.55,6.96,44.81,0,73.23,3.62,225.79,4.65,225.75
