YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,TOA_SW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M
2022,4,4,9,2.74,2.79,3.37,317.9,321.05,46.14,1.27,6.42,15.65,-1.77,6.94,4.82,31.69,0,72.53,2.47,246.28,3.08,246.23
2022,4,4,10,3.2,3.39,4.01,374.98,390.88,55.39,1.86,9.75,16.98,-1.61,7.69,4.82,29.06,0,72.53,3.48,236.52,4.4,236.45
2022,4,4,11,3.49,3.74,4.4,410.12,432.85,61.88,2.24,11.98,17.87,-1.2,8.34,4.94,28.12,0,72.52,4.24,231.59,5.37,231.56
2022,4,4,12,3.1,3.54,4.5,364,403.3,51.55,1.85,9.73,18.19,-0.51,8.84,5.19,28.75,0,72.5,4.69,229.12,5.95,229.2
2022,4,4,13,2.94,3.34,4.31,342.75,380.35,47.99,1.64,8.58,18.05,0.08,9.06,5.37,30.06,0,72.47,4.8,228.63,6.1,228.63
2022,4,4,14,2.4,2.88,3.85,280.95,326.98,38.45,1.19,6.23,17.56,0.39,8.98,5.49,31.62,0,72.45,4.63,228.42,5.88,228.45
2022,4,4,15,1.77,2.21,3.13,202.27,250,27.52,0.69,3.5,16.73,0.55,8.64,5.55,33.69,0.03,72.45,4.28,228.55,5.45,228.61
2022,4,4,16,1.11,1.4,2.22,124.23,156.62,15.95,0.27,1.33,15.46,0.61,8.04,5.55,36.69,0.1,72.48,3.72,228.92,4.77,229.05
2022,4,4,17,0.53,0.6,1.18,56.95,64.98,7.21,0.05,0.25,13.55,1.15,7.35,5.8,43.25,0.13,72.53,2.63,228.61,3.5,229.16
2022,4,4,18,0.06,0.05,0.18,4.9,5.38,0.72,0,0.02,10.94,2.3,6.62,6.29,56.12,0.09,72.6,1.3,225.49,1.92,227.3
2022,4,4,19,0,0,0,0,0,0,0,0,10.38,0.92,5.65,5.68,52.44,0.05,72.67,0.62,249.95,0.83,252.94
2022,4,4,20,0,0,0,0,0,0,0,0,9.42,0.83,5.12,5.62,55.62,0.02,72.72,0.43,334.36,0.71,340.77
2022,4,4,21,0,0,0,0,0,0,0,0,8.58,0.76,4.67,5.62,58.56,0.01,72.75,0.71,4.45,1.21,7.82
2022,4,4,22,0,0,0,0,0,0,0,0,7.82,0.65,4.23,5.55,61.25,0.01,72.74,0.87,16.16,1.52,17.69
2022,4,4,23,0,0,0,0,0,0,0,0,7.34,0.51,3.92,5.49,62.5,0,72.72,0.94,19.94,1.67,22
2022,4,5,0,0,0,0,0,0,0,0,0,7.09,0.3,3.7,5.43,62.62,0,72.69,0.97,20.77,1.72,22.48
2022,4,5,1,0,0,0,0,0,0,0,0,7.12,-0.09,3.52,5.25,60.81,0,72.66,1.01,9.39,1.71,12.64
2022,4,5,2,0,0,0,0,0,0,0,0,6.98,-0.56,3.21,5.13,59.31,0,72.63,1.11,8.93,1.84,10.54
2022,4,5,3,0,0,0,0,0,0,0,0,6.83,-1.02,2.9,4.94,58.06,0,72.62,1.14,13.08,1.89,14.15
2022,4,5,4,0,0,0,0,0,0,0,0,6.7,-1.66,2.52,4.7,56,0,72.65,1.13,15.29,1.85,15.68
2022,4,5,5,0,0,0,0,0,0,0,0,6.68,-2.24,2.22,4.52,53.69,0,72.69,1.09,15.33,1.76,16.26
2022,4,5,6,0.16,0.18,0.42,15.98,18.88,2.24,0.01,0.02,7.16,-2.02,2.57,4.58,52.94,0,72.75,1.02,16.49,1.67,17.67
2022,4,5,7,1.04,1.02,1.51,113.05,114.3,14.11,0.13,0.65,10.53,0.46,5.5,5.68,51.88,0,72.81,0.74,3.04,1.15,6.64
2022,4,5,8,1.96,1.96,2.53,222.88,224.98,30.92,0.59,2.88,13.48,-3.35,5.06,4.21,31.62,0,72.86,1.38,261.55,1.71,262.13
2022,4,5,9,2.74,2.76,3.38,317.83,317.73,45.9,1.21,6.05,15.71,-4.31,5.69,3.85,25.06,0,72.88,2.76,245.25,3.45,245.52
2022,4,5,10,3.33,3.38,4.03,389.4,392.23,57.75,1.85,9.58,17.32,-3.95,6.69,3.91,23.19,0,72.87,3.65,238.66,4.58,238.8
2022,4,5,11,3.38,3.73,4.41,402.83,432.98,60.39,2.14,11.08,18.35,-3.58,7.39,4.03,22.31,0,72.85,4.44,234.46,5.62,234.56
2022,4,5,12,3.18,3.56,4.51,377.58,410.17,53.6,1.87,9.67,18.78,-3.15,7.82,4.15,22.44,0,72.81,4.92,231.84,6.27,231.99
2022,4,5,13,2.68,3.33,4.32,316.95,386.98,45.25,1.48,7.67,18.61,-2.63,7.98,4.33,23.56,0.13,72.76,5.01,230.38,6.4,230.4
2022,4,5,14,2.17,2.83,3.86,260.38,331.6,35.75,1.03,5.35,17.98,-2.25,7.87,4.46,25.25,0.27,72.71,4.75,229.87,6.07,229.96
2022,4,5,15,1.6,2.2,3.14,187.2,255.38,25.84,0.62,3.1,16.98,-2.11,7.43,4.52,27.19,0.33,72.67,4.29,230.25,5.49,230.37
2022,4,5,16,1.05,1.41,2.23,120.48,161.48,15.71,0.25,1.23,15.58,-2.05,6.76,4.52,29.88,0.28,72.66,3.59,230.91,4.62,230.98
2022,4,5,17,0.54,0.61,1.19,59.83,68.35,7.66,0.05,0.25,13.52,-1.14,6.19,4.88,36.62,0.15,72.67,2.4,230.29,3.21,230.53
2022,4,5,18,0.06,0.05,0.18,5.17,5.58,0.75,0,0.02,10.75,0.44,5.59,5.49,49.69,0.07,72.69,0.93,230.81,1.42,230.6
2022,4,5,19,0,0,0,0,0,0,0,0,9.65,-0.6,4.52,5.07,49.25,0.03,72.73,0.33,337.69,0.52,345.12
2022,4,5,20,0,0,0,0,0,0,0,0,8.36,-0.32,4.01,5.19,54.81,0.01,72.77,0.89,19.38,1.52,20.76
2022,4,5,21,0,0,0,0,0,0,0,0,7.68,-0.48,3.6,5.13,56.81,0,72.78,1.08,23.79,1.92,24.27
2022,4,5,22,0,0,0,0,0,0,0,0,7.62,-0.81,3.4,5,55.62,0,72.77,1.11,24.04,1.92,24.27
2022,4,5,23,0,0,0,0,0,0,0,0,7.86,-1.17,3.34,4.88,53.25,0,72.75,1.05,19.65,1.74,19.98
2022,4,6,0,0,0,0,0,0,0,0,0,8.15,-1.56,3.3,4.7,50.62,0,72.72,0.95,10.85,1.51,11.31
2022,4,6,1,0,0,0,0,0,0,0,0,8.24,-1.92,3.16,4.58,49,0,72.69,0.89,3.51,1.39,3.22
2022,4,6,2,0,0,0,0,0,0,0,0,7.92,-2.17,2.87,4.52,49.06,0,72.64,0.87,359.48,1.35,359.01
2022,4,6,3,0,0,0,0,0,0,0,0,7.72,-2.43,2.65,4.39,48.81,0,72.62,0.87,0.52,1.34,0
2022,4,6,4,0,0,0,0,0,0,0,0,7.31,-2.67,2.32,4.33,49.25,0,72.64,0.92,6.34,1.42,6.31
2022,4,6,5,0,0,0,0,0,0,0,0,6.96,-2.88,2.04,4.27,49.62,0,72.68,0.96,10.76,1.48,10.95
2022,4,6,6,0.16,0.18,0.44,16.48,18.83,2.32,0.01,0.02,7.44,-2.4,2.52,4.46,49.94,0,72.73,0.94,12.43,1.48,12.5
2022,4,6,7,1,1,1.53,108.55,110.73,13.53,0.14,0.67,10.72,0.44,5.58,5.55,50.38,0,72.8,0.68,353.44,1.03,355.67
2022,4,6,8,1.91,1.92,2.54,216.75,219.7,29.58,0.59,2.9,13.81,-2.77,5.51,4.33,31.88,0,72.86,1.52,259.62,1.89,260.23
2022,4,6,9,2.69,2.72,3.4,313.62,315.45,44.86,1.24,6.25,15.9,-3.56,6.17,4.03,26.12,0,72.89,2.68,241.79,3.34,242
2022,4,6,10,2.95,3.32,4.04,348.23,386.4,51.51,1.73,9.02,17.43,-3.18,7.12,4.15,24.38,0,72.88,3.6,235.07,4.56,235.11
2022,4,6,11,3.23,3.62,4.42,383.2,421.65,57.29,2.07,11.02,18.39,-2.65,7.87,4.33,23.88,0,72.85,4.44,230.71,5.65,230.83
2022,4,6,12,2.64,3.24,4.52,308.38,362.88,40.65,1.41,7.4,18.7,-1.99,8.36,4.58,24.62,0,72.81,4.9,228.81,6.26,228.85
2022,4,6,13,2.47,3.2,4.33,291,363.23,40.24,1.39,7.15,18.61,-1.47,8.57,4.76,25.75,0,72.77,4.92,228.87,6.28,228.93
2022,4,6,14,1.91,2.73,3.86,221.77,308.3,30.68,0.97,5.12,18.2,-1.14,8.53,4.88,27.06,0.01,72.72,4.71,229.17,6,229.28
2022,4,6,15,1.51,2.13,3.15,177.85,240.3,24.02,0.62,3.25,17.34,-0.91,8.22,4.94,29.06,0.02,72.69,4.21,228.76,5.36,228.9
2022,4,6,16,0.86,1.31,2.24,96.08,143.55,12.76,0.23,1.12,16.08,-0.77,7.65,5,31.81,0.03,72.67,3.5,228.44,4.47,228.62
2022,4,6,17,0.45,0.56,1.2,48.42,60.25,6.44,0.05,0.25,14.17,0.13,7.15,5.37,38.56,0.02,72.68,2.42,226.7,3.21,226.97
2022,4,6,18,0.06,0.05,0.19,4.75,5.2,0.68,0,0.02,11.45,1.65,6.55,6.04,51.81,0.01,72.72,1.1,220.69,1.66,220.98
2022,4,6,19,0,0,0,0,0,0,0,0,10.76,0.49,5.62,5.49,49.62,0.01,72.77,0.2,237.53,0.25,237.8
2022,4,6,20,0,0,0,0,0,0,0,0,9.4,0.4,4.9,5.43,54,0,72.82,0.52,26.57,0.92,28.53
2022,4,6,21,0,0,0,0,0,0,0,0,8.62,0.31,4.47,5.43,56.56,0,72.85,0.84,22.99,1.43,25.87
2022,4,6,22,0,0,0,0,0,0,0,0,8.23,0.01,4.12,5.31,56.75,0,72.84,0.93,24.21,1.58,24.54
2022,4,6,23,0,0,0,0,0,0,0,0,8.08,-0.28,3.9,5.19,56.06,0,72.82,0.93,19.65,1.55,19.71
2022,4,7,0,0,0,0,0,0,0,0,0,8.08,-0.57,3.76,5.07,54.88,0,72.78,0.89,11.6,1.45,11.79
2022,4,7,1,0,0,0,0,0,0,0,0,8.08,-0.92,3.58,4.94,53.44,0.03,72.75,0.88,1.02,1.38,0.33
